iter	RMSE
0	73.15869642
1	70.00090462
2	66.68113704
3	64.08714102
4	61.78466442
5	59.48428708
6	57.24712226
7	55.18012769
8	53.30559856
9	51.63033304
10	50.04325205
11	48.65765096
12	47.4925261
13	46.41328399
14	45.08168782
15	43.85058707
16	42.97490756
17	41.9934652
18	41.0436189
19	40.37509621
20	39.45385668
21	38.49174617
22	37.69050643
23	36.80673463
24	35.89079414
25	35.10693717
26	34.48725119
27	34.06505002
28	33.36027055
29	32.73117894
30	31.98666427
31	31.4857399
32	30.99836729
33	30.4386225
34	29.91340167
35	29.41460179
36	28.96929468
37	28.47076732
38	27.99617644
39	27.61585858
40	27.26746224
41	26.87321425
42	26.42727342
43	26.11558941
44	25.90209634
45	25.59865858
46	25.45588276
47	25.04648734
48	24.80960526
49	24.47499918
50	24.1461265
51	23.80679092
52	23.58019978
53	23.39359239
54	23.11648392
55	22.87868915
56	22.71268064
57	22.55925556
58	22.29523761
59	21.99183057
60	21.80500437
61	21.66041951
62	21.42254837
63	21.13371862
64	20.84975733
65	20.63783257
66	20.46274126
67	20.33114709
68	20.17187551
69	19.93446562
70	19.78811941
71	19.62409273
72	19.51100211
73	19.28912214
74	19.05267816
75	18.94506148
76	18.76259821
77	18.62538091
78	18.42948735
79	18.32959037
80	18.20268251
81	18.0188577
82	17.95314458
83	17.78790073
84	17.58554883
85	17.38801577
86	17.325185
87	17.26562179
88	17.07394162
89	16.96528039
90	16.77388506
91	16.71919913
92	16.63246869
93	16.51583189
94	16.46310871
95	16.3147385
96	16.17000359
97	16.00903788
98	15.95853658
99	15.87746602
100	15.71428576
101	15.57952903
102	15.48732218
103	15.3251695
104	15.16480685
105	15.06423167
106	14.97507288
107	14.93111066
108	14.78385903
109	14.6351817
110	14.51494995
111	14.47176582
112	14.40341991
113	14.26849757
114	14.1334418
115	14.03059523
116	13.95316128
117	13.82168924
118	13.7575787
119	13.71800627
120	13.68044983
121	13.57571095
122	13.44794683
123	13.33730975
124	13.21658597
125	13.17905737
126	13.07974217
127	13.02100408
128	12.9427998
129	12.90828681
130	12.81467812
131	12.75006288
132	12.63540556
133	12.53551528
134	12.41909226
135	12.38710139
136	12.28258197
137	12.22979611
138	12.19776307
139	12.11830442
140	12.02278839
141	11.9534435
142	11.88437804
143	11.79510367
144	11.69525979
145	11.59210509
146	11.51602675
147	11.48549372
148	11.4565039
149	11.38453426
150	11.32301425
151	11.23922791
152	11.21254028
153	11.12214322
154	11.05905536
155	10.9677654
156	10.8918039
157	10.86517576
158	10.80008164
159	10.72931964
160	10.64219927
161	10.61371928
162	10.58832732
163	10.52543492
164	10.45139826
165	10.36627109
166	10.29200921
167	10.26768124
168	10.24155478
169	10.16186234
170	10.10895636
171	10.08351488
172	10.01469414
173	9.991627278
174	9.934266933
175	9.858297549
176	9.834127984
177	9.762614245
178	9.739784413
179	9.691807526
180	9.627753446
181	9.605722281
182	9.559798364
183	9.501570826
184	9.43160533
185	9.411029779
186	9.389223554
187	9.322396796
188	9.270121289
189	9.219891249
190	9.200298878
191	9.14091898
192	9.098933228
193	9.034400358
194	8.976880588
195	8.913711446
196	8.895653137
197	8.875935136
198	8.816850199
199	8.764439599
200	8.724793268
201	8.685026281
202	8.640994119
203	8.623729196
204	8.581888111
205	8.565386205
206	8.546997474
207	8.494455068
208	8.478015472
209	8.441654695
210	8.387783707
211	8.338786786
212	8.290519473
213	8.255849417
214	8.215613553
215	8.200737829
216	8.150226395
217	8.133912696
218	8.091762073
219	8.043604691
220	8.029306144
221	8.013839719
222	7.98329116
223	7.969595981
224	7.923676527
225	7.887774081
226	7.840990503
227	7.800334997
228	7.770890143
229	7.728860679
230	7.69997949
231	7.68690457
232	7.649269851
233	7.606757811
234	7.572792264
235	7.560392163
236	7.520702672
237	7.508744728
238	7.468400506
239	7.441968763
240	7.428395524
241	7.416625345
242	7.379905138
243	7.367521173
244	7.335284503
245	7.307158738
246	7.295865737
247	7.284595441
248	7.261111355
249	7.22453016
250	7.188236254
251	7.156601185
252	7.146021249
253	7.135655624
254	7.107475714
255	7.097554138
256	7.085967619
257	7.053595993
258	7.043814785
259	7.034195109
260	7.012410145
261	6.980635907
262	6.951843248
263	6.922924476
264	6.891314806
265	6.88201909
266	6.872871049
267	6.842220898
268	6.818360007
269	6.80964837
270	6.801068435
271	6.791120451
272	6.772443891
273	6.743098315
274	6.717157798
275	6.690114686
276	6.680935505
277	6.65377076
278	6.635425649
279	6.608045684
280	6.581000942
281	6.565078816
282	6.557008973
283	6.539580034
284	6.531663841
285	6.523992082
286	6.516498457
287	6.497655847
288	6.472572588
289	6.450313746
290	6.442064207
291	6.434727583
292	6.411831423
293	6.397406175
294	6.381728725
295	6.357922571
296	6.33748946
297	6.31406731
298	6.300580344
299	6.277348408
300	6.270395399
301	6.255814167
302	6.248941735
303	6.232434541
304	6.214493005
305	6.207983083
306	6.195261204
307	6.176390145
308	6.155939857
309	6.142043441
310	6.123061737
311	6.116924594
312	6.096497427
313	6.090627495
314	6.078959072
315	6.072675711
316	6.053940486
317	6.034452374
318	6.021580653
319	6.015798099
320	5.999619069
321	5.982429317
322	5.97166223
323	5.956617082
324	5.938381402
325	5.928086126
326	5.922719423
327	5.917386531
328	5.912304348
329	5.907249581
330	5.890588342
331	5.873224405
332	5.858168235
333	5.853134144
334	5.847636684
335	5.837109595
336	5.82748284
337	5.812731713
338	5.79659961
339	5.782480969
340	5.769508323
341	5.764741756
342	5.751432131
343	5.742566371
344	5.733969998
345	5.729434065
346	5.725025572
347	5.720731434
348	5.715962926
349	5.706710901
350	5.693784227
351	5.680082875
352	5.665943949
353	5.651262869
354	5.637953644
355	5.633757119
356	5.626065703
357	5.622087418
358	5.618143103
359	5.610334392
360	5.601683529
361	5.588838728
362	5.584625224
363	5.573552568
364	5.563448439
365	5.559730445
366	5.548917484
367	5.541600005
368	5.53038133
369	5.518351292
370	5.506043102
371	5.494468011
372	5.488923308
373	5.485461892
374	5.47430157
375	5.465315449
376	5.458834626
377	5.452242195
378	5.443151036
379	5.432228899
380	5.424164095
381	5.420985065
382	5.417819719
383	5.408499959
384	5.401592586
385	5.398211966
386	5.395198407
387	5.3922051
388	5.382527426
389	5.372503385
390	5.364668295
391	5.355376098
392	5.349446546
393	5.343782718
394	5.334221919
395	5.324013427
396	5.318572467
397	5.310930457
398	5.301842696
399	5.293060794
